# 大学英语四级词库 · 来源 KyleBing/english-vocabulary（MIT）
# 格式：单词,释义
a,art. 一（个）；每一（个）
abandon,v. 丢弃；放弃，抛弃
ability,n. 能力；能耐；本领
able,adj. 有能力的；出色的
abnormal,adj. 不正常的；变态的
aboard,adv. 在船（车）上；上船
about,prep. 关于；在…周围
above,prep. 在…上面；高于
abroad,adv. （在）国外
abruptly,adv. 突然地
absence,n. 缺席，不在场；缺乏
absent,adj. 缺席的
absolute,adj. 纯粹的；绝对的
absolutely,adv. 完全地；绝对地
absorb,v. 吸收（液体、气体等）
abstract,adj. 抽象的
abundant,adj. 大量的，丰富的
abuse,v. 虐待；滥用
academic,adj. 学术的
academy,n. 专科院校；私立中学
accelerate,v. 加速
acceleration,n. 加速；加速度
accent,n. 口音，腔调；重音
accept,v. 接受；同意
acceptable,adj. 可接受的，合意的
acceptance,n. 接受，验收；承认
access,v. 获取 n. 接近，入口
accessary,n. 同谋，从犯
accessible,adj. 易接近的
accident,n. 意外事件；事故
accidental,adj. 偶然的；非本质的
accommodate,v. 为…提供住宿
accommodation,n. 住处；工作场所
accompany,v. 陪伴
accomplish,v. 完成
accord,v. 给予；使一致
accordance,n. 按照某事物
according,adj. 相等的， 一致的， 依…而定的
accordingly,adv. 照着；因此，所以
account,n. 记述；解释；账目
accountancy,n. 会计工作； 会计学
accountant,n. 会计人员， 会计师
accumulate,v. 积累，增加
accuracy,n. 准确（性）；准确度
accurate,adj. 精确的，准确的
accusation,n. 谴责； 【律】 指控
accuse,v. 指责；归咎于
accustom,v. 使习惯
accustomed,adj. 惯常的；习惯的
ache,v. 痛 n. 疼痛
achieve,v. 完成，实现
achievement,n. 成就，成绩；完成
acid,n. 酸 adj. 酸的；酸性的
acknowledge,v. 承认(…的权威)
acquaint,vt. 使认识， 使了解
acquaintance,n. 熟人；认识；了解
acquire,v. 获得
acquisition,n. 取得， 获得， 习得； 获得物， 增添的人
acre,n. 英亩
across,prep. 横过；在…对面
act,v. 行动；见效 n. 行为
action,n. 行动；作用；功能
active,adj. 活跃的；积极的
activity,n. 活动；活力；行动
actor,n. 演剧的人
actress,n. 女演员
actual,adj. 实际的
actually,adv. 实际上；竟然
acute,adj. 敏锐的
ad,n. 广告
adapt,v. 适应于
add,v. 添加，附加，掺加
